,Store,Name,Address,City,Phone,Store Qty,Pin,Product Name,Product_ID
76,0021,STATE STORE #21,484 N WALL ST,Ogden,801-393-2592,0,,High West - A Mid Winter Nights Dram,027041
77,0023,STATE STORE #23,5948 SOUTH 1900 WEST,ROY,801-825-8755,0,,High West - A Mid Winter Nights Dram,027041
78,0024,STATE STORE #24,1160 PATTERSON AVE,Ogden,801-394-1898,0,,High West - A Mid Winter Nights Dram,027041
79,0025,STATE STORE #25,3255 E 3300 S,Salt Lake City,801-468-0330,0,,High West - A Mid Winter Nights Dram,027041
80,0027,STATE STORE #27,55 W 200 S,Moab,435-259-5314,0,,High West - A Mid Winter Nights Dram,027041
81,0029,STATE STORE #29,1814 E MURRAY HOLLADAY RD,Salt Lake City,801-278-3572,0,,High West - A Mid Winter Nights Dram,027041
82,0030,STATE STORE #30,625 W 600 N,Layton,801-546-1151,0,,High West - A Mid Winter Nights Dram,027041
83,0031,STATE STORE #31,14445 S MINUTEMAN DR,Draper,801-495-2894,0,,High West - A Mid Winter Nights Dram,027041
84,0035,STATE STORE #35,255 S 300 E,Salt Lake City,801-533-6444,0,,High West - A Mid Winter Nights Dram,027041
85,0037,STATE STORE #37,1612 UTE BLVD  - #103,Park City,435-658-0860,0,,High West - A Mid Winter Nights Dram,027041
86,0038,STATE STORE #38,1550 SNOWCREEK DR,Park City,435-615-8538,0,,High West - A Mid Winter Nights Dram,027041
87,0039,STATE STORE #39,161 N 900 E,Saint George,435-674-9550,0,,High West - A Mid Winter Nights Dram,027041
88,0040,STATE STORE #40,13332 S MARKET CTR DR,Riverton,801-253-5807,0,,High West - A Mid Winter Nights Dram,027041
89,0041,STATE STORE #41,300 W HARRIS AVE,Salt Lake City,801-412-9972,0,,High West - A Mid Winter Nights Dram,027041
90,0043,STATE STORE #43,262 E GATEWAY DR,Heber City,435-657-3088,0,,High West - A Mid Winter Nights Dram,027041
91,0044,STATE STORE #44,671 S PLEASANT GROVE BLVD,Pleasant Grove,801-785-0228,0,,High West - A Mid Winter Nights Dram,027041
92,0046,STATE STORE #46,6262 S 5600 W,Salt Lake City,801-685-4110,0,,High West - A Mid Winter Nights Dram,027041
93,0048,STATE STORE #48,5278 W ANTHEM PEAK LANE,HERRIMAN,385-484-7255,0,,High West - A Mid Winter Nights Dram,027041
94,0049,STATE STORE #49,1285 N EXCHANGE DR,SARATOGA SPRINGS,385-484-7416,0,,High West - A Mid Winter Nights Dram,027041
95,0050,STATE STORE #50,579 LAGOON DRPO BOX 8,FARMINGTON,385-988-7050,0,,High West - A Mid Winter Nights Dram,027041
